PDhfVvcVXgBinZf5I6s1KQ,the-codmother-fish-and-chips-san-francisco-3,The Codmother Fish & Chips,https://s3-media4.fl.yelpcdn.com/bphoto/jIiYLWAA1S-efjnkLJ29FQ/o.jpg,https://www.yelp.com/biz/the-codmother-fish-and-chips-san-francisco-3?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,2907,british;fishnchips;seafood;,4.5,,$$,+14156069349,37.8072702557489,-122.417093771758,"496 Beach St,San Francisco, CA 94133",1
lJAGnYzku5zSaLnQ_T6_GQ,brendas-french-soul-food-san-francisco,Brenda's French Soul Food,https://s3-media3.fl.yelpcdn.com/bphoto/sNIJnePGDenUOyewsD8tLg/o.jpg,https://www.yelp.com/biz/brendas-french-soul-food-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,10693,french;soulfood;breakfast_brunch;,4,,$$,+14153458100,37.7829016035273,-122.419043442957,"652 Polk St,San Francisco, CA 94102",1
BI40rGhpngLNPacrjWpseQ,dumpling-kitchen-san-francisco,Dumpling Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/AwzQRoi72ANzyXAakQVSNA/o.jpg,https://www.yelp.com/biz/dumpling-kitchen-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,1439,chinese;,4,"delivery,pickup",$$,+14156828938,37.7423,-122.48701,"1935 Taraval St,San Francisco, CA 94116",1
MBj0Tg6SmNJmkl7aCXtq5Q,matcha-cafe-maiko-san-francisco-5,Matcha Cafe Maiko,https://s3-media1.fl.yelpcdn.com/bphoto/PQuXVBYXRqyFVAwpszUTdA/o.jpg,https://www.yelp.com/biz/matcha-cafe-maiko-san-francisco-5?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,53,desserts;icecream;coffee;,4.5,,,+14156809650,37.72856,-122.47688,"3251 20th Ave,Ste 250K,San Francisco, CA 94132",1
u39mZEYojBiNic3lqKhPNw,tacorea-san-francisco,Tacorea,https://s3-media2.fl.yelpcdn.com/bphoto/xJUH-UAXBuIEub6HbxPKFQ/o.jpg,https://www.yelp.com/biz/tacorea-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,1563,mexican;korean;latin;,4.5,,$$,,37.7897794,-122.410717,"809 Bush St,San Francisco, CA 94108",1
a-Lf60V3BDdS27la95VQWA,hodala-san-francisco,HoDaLa,https://s3-media3.fl.yelpcdn.com/bphoto/lA6mWTsxRKE2i2uzwKnklA/o.jpg,https://www.yelp.com/biz/hodala-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,416,taiwanese;asianfusion;,4,"delivery,pickup",$$,+14157029510,37.7800054050483,-122.481684274971,"5801 Geary Blvd,San Francisco, CA 94121",1
MbzmHmgqD3UqrJ7eQBn_Kg,queens-san-francisco-2,Queens,https://s3-media1.fl.yelpcdn.com/bphoto/S1XKarGeo7ylyMLMEBib9g/o.jpg,https://www.yelp.com/biz/queens-san-francisco-2?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,3,delis;coffee;importedfood;,5,,,+14157029382,37.76526,-122.46672,"1235 9th Ave,San Francisco, CA 94122",1
Vqq-m8VvLWH2pV5BZZeRoA,dragoneats-san-francisco-7,DragonEats,https://s3-media3.fl.yelpcdn.com/bphoto/NxOlgFeoFRqRuIi2yKlbWg/o.jpg,https://www.yelp.com/biz/dragoneats-san-francisco-7?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,180,vietnamese;,4.5,,$,+14155226689,37.76937,-122.45005,"1671 Haight St,San Francisco, CA 94117",1
8kck3-K4zYKTJbJko0JlXQ,farmhouse-kitchen-thai-cuisine-san-francisco,Farmhouse Kitchen Thai Cuisine,https://s3-media3.fl.yelpcdn.com/bphoto/AC0JE-nnMd-Ai3SlA7IPfg/o.jpg,https://www.yelp.com/biz/farmhouse-kitchen-thai-cuisine-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,2094,thai;comfortfood;,4,"delivery,pickup,restaurant_reservation",$$,+14158142920,37.7602179,-122.4110749,"710 Florida St,San Francisco, CA 94110",1
i09UMzccKgyLwGYKDVP28w,surisan-san-francisco,Surisan,https://s3-media1.fl.yelpcdn.com/bphoto/CQjUMLXrjMLPOhRgDmGyGw/o.jpg,https://www.yelp.com/biz/surisan-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,1590,korean;newamerican;breakfast_brunch;,4.5,"pickup,restaurant_reservation",$$,+14157718449,37.80678,-122.41756,"505 Beach St,San Francisco, CA 94133",1
XhbkZ-5nUJ3bRy7uKPx7iQ,mr-szechuan-san-francisco,Mr Szechuan,https://s3-media1.fl.yelpcdn.com/bphoto/CQp3RxvoIlxyhu65qAxquA/o.jpg,https://www.yelp.com/biz/mr-szechuan-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,151,chinese;bubbletea;shavedice;,4.5,"delivery,pickup,restaurant_reservation",$$,+14157538788,37.74331,-122.47544,"890 Taraval St,San Francisco, CA 94116",1
FBQ6sliYlWLw4xptg4tDvw,new-dumpling-king-san-francisco-2,New Dumpling King,https://s3-media4.fl.yelpcdn.com/bphoto/G1rH_7lKNKszwR6xYiyrbg/o.jpg,https://www.yelp.com/biz/new-dumpling-king-san-francisco-2?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,4,chinese;,4.5,"delivery,pickup",,+14153872088,37.77559,-122.49449,"3319 Balboa St,San Francisco, CA 94121",1
4KfQnlcSu4bbTqnvGdGptw,beretta-san-francisco,Beretta,https://s3-media1.fl.yelpcdn.com/bphoto/RsCeyBgtnXpmN9YTKEIvWg/o.jpg,https://www.yelp.com/biz/beretta-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,3517,italian;pizza;breakfast_brunch;,4,restaurant_reservation,$$,+14156951199,37.75384,-122.42055,"1199 Valencia St,San Francisco, CA 94110",1
Y3nxgEoxwFJ5miacMzYNXg,hook-fish-san-francisco-4,Hook Fish,https://s3-media3.fl.yelpcdn.com/bphoto/f1t0l-gKYDwLPjM9x0YgmQ/o.jpg,https://www.yelp.com/biz/hook-fish-san-francisco-4?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,439,seafood;tacos;,4.5,,$$,,37.7623772,-122.5065697,"4542 Irving St,San Francisco, CA 94122",1
-Wei8JiA-RBzuSnO_9X0FQ,rooster-and-rice-san-francisco-4,Rooster & Rice,https://s3-media1.fl.yelpcdn.com/bphoto/_yfVLKOsU7fYQJ_c_LBFPg/o.jpg,https://www.yelp.com/biz/rooster-and-rice-san-francisco-4?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,424,chickenshop;thai;,4.5,pickup,$$,+14157763647,37.7979011997338,-122.436055409297,"2211 Filbert St,San Francisco, CA 94123",1
ZPsuN4ON2TWD1bhuMjyMQQ,gai-chicken-rice-san-francisco,Gai Chicken Rice,https://s3-media1.fl.yelpcdn.com/bphoto/qEzS8Z3Lfn2hMYobzm_MOQ/o.jpg,https://www.yelp.com/biz/gai-chicken-rice-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,161,thai;vietnamese;singaporean;,4.5,"delivery,pickup",$$,+14155350451,37.7642,-122.42998,"3463 16th St,San Francisco, CA 94114",1
hqQoVK0vadOX7_4gN1sh3g,saigon-sandwich-san-francisco,Saigon Sandwich,https://s3-media3.fl.yelpcdn.com/bphoto/lE_HHijKAKt08JIeRHVh7w/o.jpg,https://www.yelp.com/biz/saigon-sandwich-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,3192,vietnamese;sandwiches;,4.5,,$,+14154745698,37.7831519576568,-122.417318022037,"560 Larkin St,San Francisco, CA 94102",1
90kaVHz2X2U5HrvSAN5N_A,mac-daddy-san-francisco,Mac Daddy,https://s3-media1.fl.yelpcdn.com/bphoto/uEjIEoVbIr8U_uW7g1k-PA/o.jpg,https://www.yelp.com/biz/mac-daddy-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,510,tradamerican;salad;breakfast_brunch;,4,"delivery,pickup",$$,+14158726670,37.76234,-122.39716,"1453 18th St,San Francisco, CA 94107",1
UQelyXEsT1vXEN3B23SEuQ,ichi-sando-san-francisco,Ichi Sando,https://s3-media1.fl.yelpcdn.com/bphoto/6u0QS_0d7vKebXZZO6XlNg/o.jpg,https://www.yelp.com/biz/ichi-sando-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,57,sandwiches;japanese;,4,,,,37.7849060010709,-122.431879341602,"1581 Webster St,San Francisco, CA 94115",1
WOVHQYzSAdyXYOiYDTmujQ,the-bird-san-francisco,The Bird,https://s3-media1.fl.yelpcdn.com/bphoto/swsVh8zitzh6gipKB4zaUA/o.jpg,https://www.yelp.com/biz/the-bird-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,1512,chickenshop;sandwiches;,4,,$,+14158729825,37.78724,-122.39995,"115 New Montgomery St,San Francisco, CA 94105",1
C2YKH8Tb6-ssgCfynru5Eg,polk-gulch-bbq-san-francisco,Polk Gulch BBQ,https://s3-media3.fl.yelpcdn.com/bphoto/7N73UnFj3VtAPRLAP6BvYQ/o.jpg,https://www.yelp.com/biz/polk-gulch-bbq-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,31,bbq;,4.5,,,,37.792865,-122.421444,"1735 Polk St,San Francisco, CA 94109",1
PTFxtXS47ZVRCdZIrEWvGw,golden-boy-pizza-san-francisco,Golden Boy Pizza,https://s3-media1.fl.yelpcdn.com/bphoto/F8OxoXdS51h2VfU9Je2cNQ/o.jpg,https://www.yelp.com/biz/golden-boy-pizza-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,3382,pizza;italian;,4.5,,$,+14159829738,37.7997956,-122.4080729,"542 Green St,San Francisco, CA 94133",1
